Medication,ICD-10 Code
AZELAIC ACID 15 % EXTERNAL GEL,L71.0
AZELAIC ACID 15 % EXTERNAL GEL,L71.9
AZELAIC ACID 15% GEL,L70.0
AZELAIC ACID 15% GEL,L71.0
BASAGLAR 100U/ML INJ,E10.9
BASAGLAR 100U/ML INJ,E11.9
BASAGLAR 100U/ML INJ,E13.9
BASAGLAR KWIKPEN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E10.9
BASAGLAR KWIKPEN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.9
BASAGLAR KWIKPEN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E13.9
BIJUVA 0.5-100 MG ORAL CAPSULE,N95.1
BONJESTA 20-20 MG ORAL TABLET EXTENDED RELEASE,O21.0
BOTOX 200 UNIT INJECTION SOLUTION RECONSTITUTED,G43.709
BREZTRI 160-9-4.8MCG/AC INH,J44.9
BUDESONIDE-FORMOTEROL FUMARATE 160-4.5MCG/ACT AEROSOL,J44.9
BUDESONIDE-FORMOTEROL FUMARATE 160-4.5MCG/ACT AEROSOL,J45.909
BYDUREON BCISE 2 MG/0.85ML,E11.9
CAPLYTA 42 MG ORAL CAPSULE,F20.9
CAPLYTA 42 MG ORAL CAPSULE,F31.9
CEQUA 0.09 % OPHTHALMIC SOLUTION,H04.121
CEQUA 0.09 % OPHTHALMIC SOLUTION,H04.122
CEQUA 0.09 % OPHTHALMIC SOLUTION,H04.123
CLINDAMYCIN PHOS-BENZOYL PEROX 1.2-3.75 % EXTERNAL GEL,L70.0
CLINDAMYCIN PHOS-BENZOYL PEROX 1.2-3.75 % EXTERNAL GEL,L70.9
COBENFY 100-20 MG ORAL CAPSULE,M05.79
COBENFY 100-20 MG ORAL CAPSULE,M25.50
COBENFY 100-20 MG ORAL CAPSULE,R52
CONTRAVE 8-90MG TABLET,E66.01
CONTRAVE 8-90MG TABLET,E66.3
CONTRAVE 8-90MG TABLET,E66.9
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.830
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.831
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.832
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.833
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.834
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.835
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.836
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.837
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.838
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.839
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.9
DAPAGLIFLOZIN PROPANEDIOL 10 MG ORAL TABLET,E11.65
DAPAGLIFLOZIN PROPANEDIOL 10 MG ORAL TABLET,I50.9
DAPAGLIFLOZIN PROPANEDIOL 10 MG ORAL TABLET,N18.9
DEXCOM G7 SENSOR,E10.9
DEXCOM G7 SENSOR,E11.9
DEXLANSOPRAZOLE 60MG CAP,K21.0
DEXLANSOPRAZOLE 60MG CAP,K21.9
DEXLANSOPRAZOLE 60MG CAP,K25.9
DEXLANSOPRAZOLE 60MG CAP,K26.9
DICLOFENAC SODIUM 2 % EXTERNAL SOLUTION,M17.11
DICLOFENAC SODIUM 2 % EXTERNAL SOLUTION,M17.12
DICLOFENAC SODIUM 2 % EXTERNAL SOLUTION,M17.9
DOXYLAMINE-PYRIDOXINE 10-10 MG ORAL TABLET DELAYED RELEASE,O21.0
DUPIXENT 300MG/2ML INJ,J33.9
DUPIXENT 300MG/2ML INJ,J45.40
DUPIXENT 300MG/2ML INJ,L20.9
Diclofenac Epolamine 1.3% Film,M25.561
Diclofenac Epolamine 1.3% Film,M25.562
Diclofenac Epolamine 1.3% Film,M54.5
Diclofenac Epolamine 1.3% Film,M79.1
Diclofenac Epolamine 1.3% Film,M79.2
Diclofenac Epolamine 1.3% Film,M79.7
Diclofenac Epolamine 1.3% Film,S39.012A
Diclofenac Epolamine 1.3% Film,S39.012D
Diclofenac Epolamine 1.3% Film,S39.012S
Diclofenac Epolamine 1.3% Film,S80.001A
Diclofenac Epolamine 1.3% Film,S80.001D
Diclofenac Epolamine 1.3% Film,S80.001S
Diclofenac Epolamine 1.3% Film,S80.002A
Diclofenac Epolamine 1.3% Film,S80.002D
Diclofenac Epolamine 1.3% Film,S80.002S
Diclofenac Epolamine 1.3% Film,S86.011A
Diclofenac Epolamine 1.3% Film,S86.011D
Diclofenac Epolamine 1.3% Film,S86.011S
Diclofenac Epolamine 1.3% Film,S93.401A
Diclofenac Epolamine 1.3% Film,S93.401D
Diclofenac Epolamine 1.3% Film,S93.401S
Diclofenac Epolamine 1.3% Film,S93.402A
Diclofenac Epolamine 1.3% Film,S93.402D
Diclofenac Epolamine 1.3% Film,S93.402S
Diclofenac Potassium 25 MG Oral Tablet,M15.9
Diclofenac Potassium 25 MG Oral Tablet,M25.50
Diclofenac Potassium 25 MG Oral Tablet,M54.2
Diclofenac Potassium 25 MG Oral Tablet,M54.5
Diclofenac Potassium 25 MG Oral Tablet,M79.1
Diclofenac Potassium 25 MG Oral Tablet,M79.2
Diclofenac Potassium 25 MG Oral Tablet,R52
ELYXYB 120 MG/4.8ML ORAL SOLUTION,G43.009
ELYXYB 120 MG/4.8ML ORAL SOLUTION,G43.019
ELYXYB 120 MG/4.8ML ORAL SOLUTION,G43.109
ELYXYB 120 MG/4.8ML ORAL SOLUTION,G43.119
ELYXYB 120 MG/4.8ML ORAL SOLUTION,G43.909
ELYXYB 120 MG/4.8ML ORAL SOLUTION,G43.919
EMGALITY 120 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.909
EMGALITY 120 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.919
EMGALITY 120 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.929
EMGALITY 120 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.939
ESTRING 2MG RING,N95.1
ESTRING 2MG RING,N95.2
ESTRING 2MG RING,Z79.890
ESZOPICLONE 3 MG ORAL TABLET,F51.01
ESZOPICLONE 3 MG ORAL TABLET,G47.00
ESZOPICLONE 3 MG ORAL TABLET,G47.01
ESZOPICLONE 3 MG ORAL TABLET,G47.09
EUCRISA 2% OINT,L20.9
EUFLEXXA 10MG/ML SOSY,M17.10
EUFLEXXA 10MG/ML SOSY,M17.11
EUFLEXXA 10MG/ML SOSY,M17.12
EUFLEXXA 10MG/ML SOSY,M17.9
EYSUVIS 0.25 % OPHTHALMIC SUSPENSION,H04.123
EYSUVIS 0.25 % OPHTHALMIC SUSPENSION,H04.124
EYSUVIS 0.25 % OPHTHALMIC SUSPENSION,H04.125
FARXIGA 10MG TAB,E11.9
FARXIGA 10MG TAB,I50.9
FARXIGA 10MG TAB,N18.9
FEMRING 0.05MG/24HR RING,N95.1
FLUTICASONE PROPIONATE HFA 110 MCG/ACT INHALATION AEROSOL,J45.30
FLUTICASONE PROPIONATE HFA 110 MCG/ACT INHALATION AEROSOL,J45.40
FLUTICASONE PROPIONATE HFA 110 MCG/ACT INHALATION AEROSOL,J45.50
FLUTICASONE PROPIONATE HFA 110 MCG/ACT INHALATION AEROSOL,J45.909
FREESTYLE LIBRE 3 SENSOR,E10.9
FREESTYLE LIBRE 3 SENSOR,E11.9
FREESTYLE LIBRE 3 SENSOR,Z79.4
FREESTYLE LIBRE 3 SENSOR,Z79.84
GEMTESA 75 MG ORAL TABLET,N32.81
GEMTESA 75 MG ORAL TABLET,R39.15
GEMTESA 75 MG ORAL TABLET,R39.16
GEMTESA 75MG TAB,N32.81
GEMTESA 75MG TAB,R39.15
GEMTESA 75MG TAB,R39.16
GVOKE HYPOPEN 2-PACK 1 MG/0.2ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,E16.2
IBSRELA 50MG TABLET,K58.1
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M06.00
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M06.9
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M06.9
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M15.0
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M15.9
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M17.0
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M17.9
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M19.90
ICOSAPENT ETHYL 1 GM ORAL CAPSULE,E78.1
ICOSAPENT ETHYL 1 GM ORAL CAPSULE,I20.9
ICOSAPENT ETHYL 1 GM ORAL CAPSULE,I25.10
IMVEXXY STARTER PACK 4 MCG VAGINAL INSERT,N94.1
IMVEXXY STARTER PACK 4 MCG VAGINAL INSERT,N95.1
IMVEXXY STARTER PACK 4 MCG VAGINAL INSERT,N95.2
INSULIN DEGLUDEC FLEXTOUCH 200 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E10.9
INSULIN DEGLUDEC FLEXTOUCH 200 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.9
INSULIN DEGLUDEC FLEXTOUCH 200 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E13.9
INSULIN GLARGINE-YFGN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E10.9
INSULIN GLARGINE-YFGN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.9
INSULIN GLARGINE-YFGN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E13.9
INTRAROSA 6.5MG INSERT,N94.10
INTRAROSA 6.5MG INSERT,N94.11
INTRAROSA 6.5MG INSERT,N94.12
INTRAROSA 6.5MG INSERT,N94.19
INVEGA SUSTENNA 234MG INJ,F20.0
INVEGA SUSTENNA 234MG INJ,F20.1
INVEGA SUSTENNA 234MG INJ,F20.2
INVEGA SUSTENNA 234MG INJ,F20.3
INVEGA SUSTENNA 234MG INJ,F20.5
INVEGA SUSTENNA 234MG INJ,F20.8
INVEGA SUSTENNA 234MG INJ,F20.9
IYUZEH 0.005% SOL,H40.11
IYUZEH 0.005% SOL,H40.12
IYUZEH 0.005% SOL,H40.13
IYUZEH 0.005% SOL,H40.811
IYUZEH 0.005% SOL,H40.812
IYUZEH 0.005% SOL,H40.813
JANUMET 50-1000MG TAB,E11.65
JANUMET 50-1000MG TAB,E11.69
JANUMET 50-1000MG TAB,E11.8
JANUMET 50-1000MG TAB,E11.9
JANUVIA 100MG TAB,E11.65
JANUVIA 100MG TAB,E11.69
JANUVIA 100MG TAB,E11.8
JANUVIA 100MG TAB,E11.9
JARDIANCE 25MG TAB,E11.9
JARDIANCE 25MG TAB,I25.10
JARDIANCE 25MG TAB,N18.9
JORNAY PM 20 MG ORAL CAPSULE EXTENDED RELEASE 24 HOUR,F90.0
JORNAY PM 20 MG ORAL CAPSULE EXTENDED RELEASE 24 HOUR,F90.1
JORNAY PM 20 MG ORAL CAPSULE EXTENDED RELEASE 24 HOUR,F90.2
JUBLIA 10 % SOLUTION,B35.1
KERENDIA 10 MG ORAL TABLET,E11.22
KERENDIA 10MG TAB,E11.22
KERENDIA 10MG TAB,N18.3
KERENDIA 10MG TAB,N18.4
LACTULOSE 10 GM ORAL PACKET,K59.00
LEVEMIR FLEXPEN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E10.9
LEVEMIR FLEXPEN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.9
LEVEMIR FLEXPEN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E13.9
LIDOCAINE 5 % EXTERNAL PATCH,B02.9
LIDOCAINE 5 % EXTERNAL PATCH,G53.0
LINZESS 72MCG CAP,K58.9
LINZESS 72MCG CAP,K59.00
LINZESS 72MCG CAP,K59.09
LIRAGLUTIDE 18 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.65
LIRAGLUTIDE 18 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.69
LIRAGLUTIDE 18 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.8
LIRAGLUTIDE 18 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.9
LO LOESTRIN FE 1 MG-10 MCG /10 MCG TABLET,Z30.011
LO LOESTRIN FE 1 MG-10 MCG /10 MCG TABLET,Z30.09
LO LOESTRIN FE 1 MG-10 MCG /10 MCG TABLET,Z30.41
LYBALVI 10-10 MG ORAL TABLET,F20.9
LYBALVI 10-10 MG ORAL TABLET,F31.13
LYBALVI 10-10 MG ORAL TABLET,F31.14
LYBALVI 10-10 MG ORAL TABLET,F31.9
LYBALVI 10-10 MG ORAL TABLET,F32.9
LYBALVI 10-10 MG ORAL TABLET,F33.9
LYBALVI 20-10 MG ORAL TABLET,F20.9
LYBALVI 20-10 MG ORAL TABLET,F31.13
LYBALVI 20-10 MG ORAL TABLET,F31.14
LYBALVI 20-10 MG ORAL TABLET,F31.9
LYBALVI 5-10 MG ORAL TABLET,F20.9
LYBALVI 5-10 MG ORAL TABLET,F31.9
Lidocaine 5% External Patch,G53.0
METFORMIN HCL 625 MG ORAL TABLET,E11.65
METFORMIN HCL 625 MG ORAL TABLET,E11.69
METFORMIN HCL 625 MG ORAL TABLET,E11.8
METFORMIN HCL 625 MG ORAL TABLET,E11.9
MIEBO 1.338 GM/ML EYE SOLUTION,H04.121
MIEBO 1.338 GM/ML EYE SOLUTION,H04.122
MIEBO 1.338 GM/ML EYE SOLUTION,H04.123
MIEBO 1.338 GM/ML OPHTHALMIC SOLUTION,H04.121
MIEBO 1.338 GM/ML OPHTHALMIC SOLUTION,H04.122
MIEBO 1.338 GM/ML OPHTHALMIC SOLUTION,H04.123
MIRABEGRON ER 25 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,N31.9
MIRABEGRON ER 25 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,N32.81
MIRABEGRON ER 25 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,R32
MODAFINIL 100 MG ORAL TABLET,G47.26
MODAFINIL 100 MG ORAL TABLET,G47.33
MODAFINIL 100 MG ORAL TABLET,G47.411
MODAFINIL 100 MG ORAL TABLET,G47.419
MOUNJARO,E11.22
MOUNJARO,E11.42
MOUNJARO,E11.65
MOUNJARO,E11.9
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.0
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.1
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.2
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.3
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.4
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.5
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.6
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.8
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.9
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N92.0
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N92.1
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N92.4
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N92.5
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N92.6
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N93.0
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N93.8
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N93.9
NAPROXEN-ESOMEPRAZOLE 500-20MG TABLET,M06.9
NAPROXEN-ESOMEPRAZOLE 500-20MG TABLET,M15.0
NAPROXEN-ESOMEPRAZOLE 500-20MG TABLET,M45.9
NEXLIZET 180-10MG TAB,E78.0
NEXLIZET 180-10MG TAB,E78.2
NEXLIZET 180-10MG TAB,E78.4
NEXLIZET 180-10MG TAB,E78.5
NEXLIZET 180-10MG TAB,I25.10
NEXLIZET 180-10MG TAB,I25.110
NEXLIZET 180-10MG TAB,I25.119
NEXLIZET 180-10MG TAB,I25.9
NEXTSTELLIS 3-14.2 MG ORAL TABLET,Z30.011
NEXTSTELLIS 3-14.2 MG ORAL TABLET,Z30.9
NOVOLOG FLEXPEN 100U/ML INJ,E10.9
NOVOLOG FLEXPEN 100U/ML INJ,E11.9
NOVOLOG FLEXPEN 100U/ML INJ,E13.9
NUEDEXTA 20-10 MG ORAL CAPSULE,F48.2
NURTEC 75 MG TABLET DISINTEGRATING,G43.009
NURTEC 75 MG TABLET DISINTEGRATING,G43.019
NURTEC 75 MG TABLET DISINTEGRATING,G43.909
NURTEC ODT 75MG TAB,G43.009
NURTEC ODT 75MG TAB,G43.019
NURTEC ODT 75MG TAB,G43.909
NexIUM DR 40MG CER,K21.9
NexIUM DR 40MG CER,K25.9
NexIUM DR 40MG CER,K26.9
NexIUM DR 40MG CER,K27.9
NexIUM DR 40MG CER,K29.70
NexIUM DR 40MG CER,K29.71
NexIUM DR 40MG CER,K31.9
OMEGA-3-ACID ETHYL ESTERS 1 GM ORAL CAPSULE,E78.1
OMEGA-3-ACID ETHYL ESTERS 1 GM ORAL CAPSULE,E78.2
OMEPRAZOLE 40 MG ORAL CAPSULE DELAYED RELEASE,K21.9
OMEPRAZOLE 40 MG ORAL CAPSULE DELAYED RELEASE,K25.9
OMEPRAZOLE 40 MG ORAL CAPSULE DELAYED RELEASE,K26.9
OMEPRAZOLE 40 MG ORAL CAPSULE DELAYED RELEASE,K27.9
OMEPRAZOLE 40 MG ORAL CAPSULE DELAYED RELEASE,K29.70
OMEPRAZOLE 40 MG ORAL CAPSULE DELAYED RELEASE,K29.71
OMEPRAZOLE 40 MG ORAL CAPSULE DELAYED RELEASE,K31.9
OPZELURA 1.5 % EXTERNAL CREAM,L20.9
OPZELURA 1.5 % EXTERNAL CREAM,L80.9
OPZELURA 1.5% CRM,L20.9
OPZELURA 1.5% CRM,L80
ORILISSA 150MG TABLET,N80.0
OSPHENA 60 MG ORAL TABLET,N94.1
OSPHENA 60 MG ORAL TABLET,N95.1
OSPHENA 60 MG ORAL TABLET,N95.2
OTEZLA 30MG TAB,L40.0
OTEZLA 30MG TAB,L40.50
OZEMPIC (0.25 OR 0.5 MG/DOSE) 2 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR OZEMPIC,E11.22
OZEMPIC (0.25 OR 0.5 MG/DOSE) 2 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR OZEMPIC,E11.42
OZEMPIC (0.25 OR 0.5 MG/DOSE) 2 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR OZEMPIC,E11.65
OZEMPIC (0.25 OR 0.5 MG/DOSE) 2 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR OZEMPIC,E11.9
PHEXXI 1.8-1-0.4% GEL,Z30.430
PHEXXI 1.8-1-0.4% GEL,Z30.431
PHEXXI 1.8-1-0.4% GEL,Z30.49
PHEXXI 1.8-1-0.4% GEL,Z30.9
PRALUENT 150mg/1ml INJ,E78.0
PRALUENT 150mg/1ml INJ,E78.01
PRALUENT 150mg/1ml INJ,I25.10
PROCRIT 10000U/ML INJ,B20
PROCRIT 10000U/ML INJ,D61.1
PROCRIT 10000U/ML INJ,D63.0
PROCRIT 10000U/ML INJ,D64.81
PROLIA 60MG INJ,M80.0
PROLIA 60MG INJ,M80.8
PROLIA 60MG INJ,M80.88
PROLIA 60MG INJ,M81.0
PROLIA 60MG INJ,M81.6
PROLIA 60MG INJ,M81.8
QELBREE 200 MG ORAL CAPSULE EXTENDED RELEASE 24 HOUR,F90.0
QELBREE 200 MG ORAL CAPSULE EXTENDED RELEASE 24 HOUR,F90.1
QELBREE 200 MG ORAL CAPSULE EXTENDED RELEASE 24 HOUR,F90.2
QSYMIA 15-92MG EXT-RELEASE CAPSULE,E66.01
QSYMIA 15-92MG EXT-RELEASE CAPSULE,E66.09
QSYMIA 15-92MG EXT-RELEASE CAPSULE,E66.9
QSYMIA 7.5-46MG EXT-RELEASE CAPSULE,E66.01
QSYMIA 7.5-46MG EXT-RELEASE CAPSULE,E66.812
QSYMIA 7.5-46MG EXT-RELEASE CAPSULE,E66.89
QSYMIA 7.5-46MG EXT-RELEASE CAPSULE,E66.9
QULIPTA 60 MG ORAL TABLET,G43.009
QULIPTA 60 MG ORAL TABLET,G43.019
QULIPTA 60 MG ORAL TABLET,G43.909
QUVIVIQ 25 MG ORAL TABLET,F51.01
QUVIVIQ 25 MG ORAL TABLET,G47.00
QUVIVIQ 25 MG ORAL TABLET,G47.01
QUVIVIQ 25 MG ORAL TABLET,G47.09
QUVIVIQ 50 MG ORAL TABLET,G47.00
QUVIVIQ 50 MG ORAL TABLET,G47.01
QUVIVIQ 50 MG ORAL TABLET,G47.09
RELISTOR 150MG TAB,K59.00
RELISTOR 150MG TAB,Z79.891
REPATHA SURECLICK 140MG/ML INJ,E78.00
REPATHA SURECLICK 140MG/ML INJ,E78.01
REPATHA SURECLICK 140MG/ML INJ,E78.02
REPATHA SURECLICK 140MG/ML INJ,E78.5
REPATHA SURECLICK 140MG/ML INJ,I25.10
RHOFADE 1% CRM,L71.0
RHOFADE 1% CRM,L71.9
RINVOQ 15 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,L20.9
RINVOQ 15 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,M05.79
RINVOQ 15 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,M45.9
RYBELSUS 7 MG ORAL TABLET,E11.65
RYBELSUS 7 MG ORAL TABLET,E11.69
RYBELSUS 7 MG ORAL TABLET,E11.8
RYBELSUS 7 MG ORAL TABLET,E11.9
SKYRIZI PEN 150 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,K50.00
SKYRIZI PEN 150 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,K51.0
SKYRIZI PEN 150 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,L40.0
SKYRIZI PEN 150 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,M07.9
SOTYKTU 6 MG ORAL TABLET,L40.0
SOTYKTU 6 MG ORAL TABLET,L40.8
SOTYKTU 6 MG ORAL TABLET,L40.9
STEGLATRO 15MG TAB,E11.9
Slynd 4mg Tablet,Z30.011
Slynd 4mg Tablet,Z30.41
Slynd 4mg Tablet,Z79.3
TACROLIMUS 0.1 % EXTERNAL OINTMENT,L20.9
TALICIA 250-12.5-10 MG ORAL CAPSULE DELAYED RELEASE,A04.81
TESTOSTERONE CYPIONATE 200 MG/ML INTRAMUSCULAR SOLUTION,E29.1
TESTOSTERONE CYPIONATE 200 MG/ML INTRAMUSCULAR SOLUTION,E29.9
TRETINOIN 0.025 % EXTERNAL CREAM,L70.0
TRETINOIN 0.025 % EXTERNAL CREAM,L70.9
TRETINOIN 0.025% CRM,L70.0
TRETINOIN 0.025% CRM,L71.0
TRETINOIN 0.025% CRM,L71.9
TRETINOIN 0.05% CREAM,L70.0
TRETINOIN 0.05% CREAM,L71.0
TRETINOIN 0.05% CREAM,L71.9
TRULANCE 3 MG ORAL TABLET,K58.1
TRULANCE 3 MG ORAL TABLET,K59.04
TRULICITY 1.5MG/0.5ML INJ,E11.65
TRULICITY 1.5MG/0.5ML INJ,E11.9
TWIRLA 120-30 MCG/24HR TRANSDERMAL PATCH WEEKLY,Z30.09
TWIRLA 120-30 MCG/24HR TRANSDERMAL PATCH WEEKLY,Z30.41
TWIRLA 120-30 MCG/24HR TRANSDERMAL PATCH WEEKLY,Z79.3
TYRVAYA 0.03 MG/ACT NASAL SOLUTION,H04.121
TYRVAYA 0.03 MG/ACT NASAL SOLUTION,H04.122
TYRVAYA 0.03 MG/ACT NASAL SOLUTION,H04.123
UBRELVY 100 MG ORAL TABLET,G43.009
UBRELVY 100 MG ORAL TABLET,G43.019
UBRELVY 100 MG ORAL TABLET,G43.909
URSODIOL 400MG CAP,K74.3
URSODIOL 400MG CAP,K80.20
URSODIOL 400MG CAP,K83.0
URSODIOL 400MG CAP,Z79.899
VASCEPA 1GM CAP,E78.1
VASCEPA 1GM CAP,E78.2
VELPHORO 500MG CHEW,E83.52
VELPHORO 500MG CHEW,N18.5
VELPHORO 500MG CHEW,N18.6
VEMLIDY 25 MG ORAL TABLET,B18.1
VEMLIDY 25 MG ORAL TABLET,B18.2
VEMLIDY 25 MG ORAL TABLET,B18.9
VEMLIDY 25MG TAB,B18.1
VEMLIDY 25MG TAB,B18.9
VEOZAH 45 MG ORAL TABLET,N95.1
VEVYE 0.1 % OPHTHALMIC SOLUTION,H04.123
VEVYE 0.1 % OPHTHALMIC SOLUTION,H04.124
VEVYE 0.1 % OPHTHALMIC SOLUTION,H04.125
VEVYE 0.1% SOL,H04.123
VEVYE 0.1% SOL,H04.124
