Medication,ICD-10 Code,ICD description
AFREZZA 4 & 8 & 12UNIT POWDER,E10.9,E10.9 stands for Type 1 diabetes mellitus without complications.
AFREZZA 4 & 8 & 12UNIT POWDER,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
AIMOVIG 140 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.909,"G43.909 stands for Migraine, unspecified, not intractable, without status migrainosus."
AIRSUPRA 90-80MCG/ACTUATION AER,J45.40,"J45.40 stands for Moderate persistent asthma, uncomplicated."
AIRSUPRA 90-80MCG/ACTUATION AER,J45.50,"J45.50 stands for Mixed asthma, unspecified."
AIRSUPRA 90-80MCG/ACTUATION AER,J45.909,"J45.909 stands for Asthma, unspecified, without status asthmaticus."
AJOVY 225 MG/1.5ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.909,"G43.909 stands for Migraine, unspecified, not intractable, without status migrainosus."
AJOVY 225 MG/1.5ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.919,"G43.919 stands for Migraine, unspecified, intractable."
AJOVY 225 MG/1.5ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.929,"G43.929 stands for Migraine, unspecified, intractable."
AJOVY 225 MG/1.5ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.939,"G43.939 stands for Migraine, unspecified, intractable."
AKLIEF 0.005% CRM,L70.0,L70.0 stands for Acne vulgaris.
AKLIEF 0.005% CRM,L70.9,"L70.9 stands for Acne, unspecified."
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG ORAL TABLET,F90.0,"F90.0 stands for Attention-deficit hyperactivity disorder, predominantly inattentive type."
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG ORAL TABLET,F90.1,"F90.1 stands for Attention-deficit hyperactivity disorder, predominantly inattentive type."
AMPHETAMINE-DEXTROAMPHETAMINE 10 MG ORAL TABLET,F90.2,"F90.2 stands for Attention-deficit hyperactivity disorder, predominantly inattentive type."
ANNOVERA 0.013-0.15MG/24HR RING,Z30.015,Z30.015 stands for Encounter for insertion of etonogestrel-releasing vaginal ring.
ANNOVERA 0.013-0.15MG/24HR RING,Z30.44,Z30.44 stands for Encounter for insertion of vaginal ring.
ARAZLO 0.045% LOT,L70.0,L70.0 stands for Acne vulgaris.
ARAZLO 0.045% LOT,L70.9,"L70.9 stands for Acne, unspecified."
AUSTEDO XR (deutetrabenazine) 30MG ER tablets,G10,G10 stands for Huntington's disease.
AUSTEDO XR (deutetrabenazine) 30MG ER tablets,G24.01,G24.01 stands for Generalized idiopathic torsion dystonia.
AUVELITY 45-105 MG ORAL TABLET EXTENDED RELEASE,F32.9,"F32.9 stands for Major depressive disorder, single episode, unspecified."
AZELAIC ACID 15 % EXTERNAL GEL,L71.0,L71.0 stands for Folliculitis decalvans.
AZELAIC ACID 15 % EXTERNAL GEL,L71.9,"L71.9 stands for Folliculitis, unspecified."
AZELAIC ACID 15% GEL,L70.0,L70.0 stands for Acne vulgaris.
AZELAIC ACID 15% GEL,L71.0,L71.0 stands for Folliculitis decalvans.
BASAGLAR 100U/ML INJ,E10.9,E10.9 stands for Type 1 diabetes mellitus without complications.
BASAGLAR 100U/ML INJ,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
BASAGLAR 100U/ML INJ,E13.9,E13.9 stands for Other specified diabetes mellitus with other specified complication.
BASAGLAR KWIKPEN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E10.9,E10.9 stands for Type 1 diabetes mellitus without complications.
BASAGLAR KWIKPEN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
BASAGLAR KWIKPEN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E13.9,E13.9 stands for Other specified diabetes mellitus with other specified complication.
BIJUVA 0.5-100 MG ORAL CAPSULE,N95.1,N95.1 stands for Postmenopausal atrophic vaginitis.
BONJESTA 20-20 MG ORAL TABLET EXTENDED RELEASE,O21.0,"O21.0 stands for Excessive vomiting in pregnancy, mild hyperemesis."
BOTOX 200 UNIT INJECTION SOLUTION RECONSTITUTED,G43.709,"G43.709 stands for Migraine, unspecified, not intractable, without status migrainosus."
BREZTRI 160-9-4.8MCG/AC INH,J44.9,"J44.9 stands for Chronic obstructive pulmonary disease, unspecified."
BUDESONIDE-FORMOTEROL FUMARATE 160-4.5MCG/ACT AEROSOL,J44.9,"J44.9 stands for Chronic obstructive pulmonary disease, unspecified."
BUDESONIDE-FORMOTEROL FUMARATE 160-4.5MCG/ACT AEROSOL,J45.909,"J45.909 stands for Asthma, unspecified, without status asthmaticus."
BYDUREON BCISE 2 MG/0.85ML,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
CAPLYTA 42 MG ORAL CAPSULE,F20.9,"F20.9 stands for Schizophrenia, unspecified."
CAPLYTA 42 MG ORAL CAPSULE,F31.9,"F31.9 stands for Bipolar affective disorder, unspecified."
CEQUA 0.09 % OPHTHALMIC SOLUTION,H04.121,"H04.121 stands for Blepharoconjunctivitis, unspecified eyelid, right eye."
CEQUA 0.09 % OPHTHALMIC SOLUTION,H04.122,"H04.122 stands for Blepharitis, unspecified eyelid, right eye."
CEQUA 0.09 % OPHTHALMIC SOLUTION,H04.123,"H04.123 stands for Hordeolum and chalazion of upper eyelid, right eye."
CLINDAMYCIN PHOS-BENZOYL PEROX 1.2-3.75 % EXTERNAL GEL,L70.0,L70.0 stands for Acne vulgaris.
CLINDAMYCIN PHOS-BENZOYL PEROX 1.2-3.75 % EXTERNAL GEL,L70.9,"L70.9 stands for Acne, unspecified."
COBENFY 100-20 MG ORAL CAPSULE,M05.79,M05.79 stands for Rheumatoid arthritis with other involvement of other organs or systems.
COBENFY 100-20 MG ORAL CAPSULE,M25.50,"M25.50 stands for Pain in joint, unspecified."
COBENFY 100-20 MG ORAL CAPSULE,R52,"R52 stands for Pain, unspecified."
CONTRAVE 8-90MG TABLET,E66.01,E66.01 stands for Morbid (severe) obesity due to excess calories.
CONTRAVE 8-90MG TABLET,E66.3,E66.3 stands for Overweight.
CONTRAVE 8-90MG TABLET,E66.9,"E66.9 stands for Obesity, unspecified."
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.830,M62.830 stands for Other myalgia.
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.831,M62.831 stands for Other muscle spasm.
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.832,M62.832 stands for Other specified disorders of muscle.
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.833,"M62.833 stands for Other myositis, right upper arm."
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.834,M62.834 stands for Other myositis.
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.835,M62.835 stands for Other muscle spasm.
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.836,"M62.836 stands for Muscle spasm of back, right side."
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.837,M62.837 stands for Other muscle spasm of right thigh.
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.838,M62.838 stands for Other myalgia.
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.839,M62.839 stands for Other myositis.
CYCLOBENZAPRINE HCL 5 MG ORAL TABLET,M62.9,M62.9 stands for Unspecified myalgia.
DAPAGLIFLOZIN PROPANEDIOL 10 MG ORAL TABLET,E11.65,E11.65 stands for Type 2 diabetes mellitus with hyperglycemia with foot ulcer.
DAPAGLIFLOZIN PROPANEDIOL 10 MG ORAL TABLET,I50.9,"I50.9 stands for Heart failure, unspecified."
DAPAGLIFLOZIN PROPANEDIOL 10 MG ORAL TABLET,N18.9,"N18.9 stands for Chronic kidney disease, unspecified."
DEXCOM G7 SENSOR,E10.9,E10.9 stands for Type 1 diabetes mellitus without complications.
DEXCOM G7 SENSOR,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
DEXLANSOPRAZOLE 60MG CAP,K21.0,K21.0 stands for Gastro-esophageal reflux disease with esophagitis.
DEXLANSOPRAZOLE 60MG CAP,K21.9,K21.9 stands for Gastro-esophageal reflux disease without esophagitis.
DEXLANSOPRAZOLE 60MG CAP,K25.9,"K25.9 stands for Gastric ulcer, unspecified."
DEXLANSOPRAZOLE 60MG CAP,K26.9,K26.9 stands for Gastro-esophageal reflux disease without esophagitis.
DICLOFENAC SODIUM 2 % EXTERNAL SOLUTION,M17.11,"M17.11 stands for Unilateral primary osteoarthritis, right knee."
DICLOFENAC SODIUM 2 % EXTERNAL SOLUTION,M17.12,"M17.12 stands for Unilateral primary osteoarthritis, right knee."
DICLOFENAC SODIUM 2 % EXTERNAL SOLUTION,M17.9,"M17.9 stands for Gonarthrosis, unspecified."
DOXYLAMINE-PYRIDOXINE 10-10 MG ORAL TABLET DELAYED RELEASE,O21.0,"O21.0 stands for Excessive vomiting in pregnancy, mild hyperemesis."
DUPIXENT 300MG/2ML INJ,J33.9,"J33.9 stands for Nasal polyp, unspecified."
DUPIXENT 300MG/2ML INJ,J45.40,"J45.40 stands for Moderate persistent asthma, uncomplicated."
DUPIXENT 300MG/2ML INJ,L20.9,"L20.9 stands for Atopic dermatitis, unspecified."
Diclofenac Epolamine 1.3% Film,M25.561,M25.561 stands for Pain in right knee.
Diclofenac Epolamine 1.3% Film,M25.562,M25.562 stands for Pain in right knee.
Diclofenac Epolamine 1.3% Film,M54.5,M54.5 stands for Low back pain.
Diclofenac Epolamine 1.3% Film,M79.1,M79.1 stands for Myalgia.
Diclofenac Epolamine 1.3% Film,M79.2,"M79.2 stands for Neuralgia and neuritis, unspecified."
Diclofenac Epolamine 1.3% Film,M79.7,M79.7 stands for Fibromyalgia.
Diclofenac Epolamine 1.3% Film,S39.012A,"S39.012A stands for Strain of muscle, fascia and tendon at lower back level, right side, initial encounter."
Diclofenac Epolamine 1.3% Film,S39.012D,"S39.012D stands for Open wound of lower back, subsequent encounter."
Diclofenac Epolamine 1.3% Film,S39.012S,"S39.012S stands for Strain of muscle, fascia and tendon at lower back level, subsequent encounter."
Diclofenac Epolamine 1.3% Film,S80.001A,"S80.001A stands for Superficial abrasion of right knee, initial encounter."
Diclofenac Epolamine 1.3% Film,S80.001D,"S80.001D stands for Superficial injury of right knee, subsequent encounter."
Diclofenac Epolamine 1.3% Film,S80.001S,"S80.001S stands for Superficial injury of right knee, unspecified."
Diclofenac Epolamine 1.3% Film,S80.002A,"S80.002A stands for Superficial injury of unspecified part of right knee, initial encounter."
Diclofenac Epolamine 1.3% Film,S80.002D,"S80.002D stands for Superficial laceration of left thigh, subsequent encounter."
Diclofenac Epolamine 1.3% Film,S80.002S,"S80.002S stands for Superficial laceration of left lower leg, subsequent encounter."
Diclofenac Epolamine 1.3% Film,S86.011A,"S86.011A stands for Contusion of right knee, initial encounter."
Diclofenac Epolamine 1.3% Film,S86.011D,"S86.011D stands for Contusion of right thigh, subsequent encounter."
Diclofenac Epolamine 1.3% Film,S86.011S,"S86.011S stands for Injury of muscle(s) and tendon(s) at lower leg level, right leg, subsequent encounter."
Diclofenac Epolamine 1.3% Film,S93.401A,"S93.401A stands for Sprain of ankle, unspecified site, initial encounter."
Diclofenac Epolamine 1.3% Film,S93.401D,"S93.401D stands for Sprain of ankle, unspecified, right ankle, subsequent encounter."
Diclofenac Epolamine 1.3% Film,S93.401S,"S93.401S stands for Sprain of calcaneofibular ligament of right ankle, initial encounter."
Diclofenac Epolamine 1.3% Film,S93.402A,"S93.402A stands for Sprain of ankle, unspecified site, initial encounter."
Diclofenac Epolamine 1.3% Film,S93.402D,"S93.402D stands for Sprain of calcaneofibular ligament of right ankle, subsequent encounter."
Diclofenac Epolamine 1.3% Film,S93.402S,"S93.402S stands for Sprain of inferior tibiofibular ligament, left leg, subsequent encounter."
Diclofenac Potassium 25 MG Oral Tablet,M15.9,"M15.9 stands for Osteoarthritis, unspecified site."
Diclofenac Potassium 25 MG Oral Tablet,M25.50,"M25.50 stands for Pain in joint, unspecified."
Diclofenac Potassium 25 MG Oral Tablet,M54.2,M54.2 stands for Cervicalgia.
Diclofenac Potassium 25 MG Oral Tablet,M54.5,M54.5 stands for Low back pain.
Diclofenac Potassium 25 MG Oral Tablet,M79.1,M79.1 stands for Myalgia.
Diclofenac Potassium 25 MG Oral Tablet,M79.2,"M79.2 stands for Neuralgia and neuritis, unspecified."
Diclofenac Potassium 25 MG Oral Tablet,R52,"R52 stands for Pain, unspecified."
ELYXYB 120 MG/4.8ML ORAL SOLUTION,G43.009,"G43.009 stands for Migraine without aura, not intractable, without status migrainosus."
ELYXYB 120 MG/4.8ML ORAL SOLUTION,G43.019,"G43.019 stands for Migraine with aura, not intractable, without status migrainosus."
ELYXYB 120 MG/4.8ML ORAL SOLUTION,G43.109,"G43.109 stands for Migraine without aura, not intractable, without status migrainosus."
ELYXYB 120 MG/4.8ML ORAL SOLUTION,G43.119,"G43.119 stands for Migraine with aura, intractable, not specified as with status migrainosus."
ELYXYB 120 MG/4.8ML ORAL SOLUTION,G43.909,"G43.909 stands for Migraine, unspecified, not intractable, without status migrainosus."
ELYXYB 120 MG/4.8ML ORAL SOLUTION,G43.919,"G43.919 stands for Migraine, unspecified, intractable."
EMGALITY 120 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.909,"G43.909 stands for Migraine, unspecified, not intractable, without status migrainosus."
EMGALITY 120 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.919,"G43.919 stands for Migraine, unspecified, intractable."
EMGALITY 120 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.929,"G43.929 stands for Migraine, unspecified, intractable."
EMGALITY 120 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,G43.939,"G43.939 stands for Migraine, unspecified, intractable."
ESTRING 2MG RING,N95.1,N95.1 stands for Postmenopausal atrophic vaginitis.
ESTRING 2MG RING,N95.2,N95.2 stands for Postmenopausal atrophic vaginitis.
ESTRING 2MG RING,Z79.890,Z79.890 stands for Other long term (current) drug therapy.
ESZOPICLONE 3 MG ORAL TABLET,F51.01,"F51.01 stands for Nonorganic hypersomnia with excessive daytime sleepiness, without long sleep time."
ESZOPICLONE 3 MG ORAL TABLET,G47.00,"G47.00 stands for Disorders of initiating and maintaining sleep, unspecified."
ESZOPICLONE 3 MG ORAL TABLET,G47.01,G47.01 stands for Insomnia due to a known physiological condition.
ESZOPICLONE 3 MG ORAL TABLET,G47.09,"G47.09 stands for Disorders of initiating and maintaining sleep, unspecified."
EUCRISA 2% OINT,L20.9,"L20.9 stands for Atopic dermatitis, unspecified."
EUFLEXXA 10MG/ML SOSY,M17.10,"M17.10 stands for Unilateral primary osteoarthritis, knee."
EUFLEXXA 10MG/ML SOSY,M17.11,"M17.11 stands for Unilateral primary osteoarthritis, right knee."
EUFLEXXA 10MG/ML SOSY,M17.12,"M17.12 stands for Unilateral primary osteoarthritis, right knee."
EUFLEXXA 10MG/ML SOSY,M17.9,"M17.9 stands for Gonarthrosis, unspecified."
EYSUVIS 0.25 % OPHTHALMIC SUSPENSION,H04.123,"H04.123 stands for Hordeolum and chalazion of upper eyelid, right eye."
EYSUVIS 0.25 % OPHTHALMIC SUSPENSION,H04.124,H04.124 stands for Hordeolum internum of right lower eyelid.
EYSUVIS 0.25 % OPHTHALMIC SUSPENSION,H04.125,"H04.125 stands for Chalazion of upper eyelid, right eye."
FARXIGA 10MG TAB,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
FARXIGA 10MG TAB,I50.9,"I50.9 stands for Heart failure, unspecified."
FARXIGA 10MG TAB,N18.9,"N18.9 stands for Chronic kidney disease, unspecified."
FEMRING 0.05MG/24HR RING,N95.1,N95.1 stands for Postmenopausal atrophic vaginitis.
FLUTICASONE PROPIONATE HFA 110 MCG/ACT INHALATION AEROSOL,J45.30,"J45.30 stands for Mild intermittent asthma, uncomplicated."
FLUTICASONE PROPIONATE HFA 110 MCG/ACT INHALATION AEROSOL,J45.40,"J45.40 stands for Moderate persistent asthma, uncomplicated."
FLUTICASONE PROPIONATE HFA 110 MCG/ACT INHALATION AEROSOL,J45.50,"J45.50 stands for Mixed asthma, unspecified."
FLUTICASONE PROPIONATE HFA 110 MCG/ACT INHALATION AEROSOL,J45.909,"J45.909 stands for Asthma, unspecified, without status asthmaticus."
FREESTYLE LIBRE 3 SENSOR,E10.9,E10.9 stands for Type 1 diabetes mellitus without complications.
FREESTYLE LIBRE 3 SENSOR,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
FREESTYLE LIBRE 3 SENSOR,Z79.4,Z79.4 stands for Long term (current) use of insulin pump.
FREESTYLE LIBRE 3 SENSOR,Z79.84,Z79.84 stands for Long-term (current) use of insulin pump.
GEMTESA 75 MG ORAL TABLET,N32.81,N32.81 stands for Other specified disorders of bladder.
GEMTESA 75 MG ORAL TABLET,R39.15,R39.15 stands for Mixed urinary incontinence.
GEMTESA 75 MG ORAL TABLET,R39.16,R39.16 stands for Mixed incontinence.
GEMTESA 75MG TAB,N32.81,N32.81 stands for Other specified disorders of bladder.
GEMTESA 75MG TAB,R39.15,R39.15 stands for Mixed urinary incontinence.
GEMTESA 75MG TAB,R39.16,R39.16 stands for Mixed incontinence.
GVOKE HYPOPEN 2-PACK 1 MG/0.2ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,E16.2,E16.2 stands for Nonproliferative diabetic retinopathy with macular edema.
IBSRELA 50MG TABLET,K58.1,K58.1 stands for Irritable bowel syndrome with diarrhea.
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M06.00,M06.00 stands for Rheumatoid arthritis without organ or systems involvement.
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M06.9,"M06.9 stands for Rheumatoid arthritis, unspecified."
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M06.9,"M06.9 stands for Rheumatoid arthritis, unspecified."
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M15.0,"M15.0 stands for Polyarthrosis, unspecified."
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M15.9,"M15.9 stands for Osteoarthritis, unspecified site."
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M17.0,"M17.0 stands for Unilateral primary osteoarthritis, hip."
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M17.9,"M17.9 stands for Gonarthrosis, unspecified."
IBUPROFEN-FAMOTIDINE 800-26.6 MG ORAL TABLET,M19.90,"M19.90 stands for Unspecified osteoarthritis, unspecified site."
ICOSAPENT ETHYL 1 GM ORAL CAPSULE,E78.1,E78.1 stands for Pure hypercholesterolemia.
ICOSAPENT ETHYL 1 GM ORAL CAPSULE,I20.9,"I20.9 stands for Angina pectoris, unspecified."
ICOSAPENT ETHYL 1 GM ORAL CAPSULE,I25.10,I25.10 stands for Atherosclerotic heart disease of native coronary artery without angina pectoris.
IMVEXXY STARTER PACK 4 MCG VAGINAL INSERT,N94.1,N94.1 stands for Premenstrual tension syndrome.
IMVEXXY STARTER PACK 4 MCG VAGINAL INSERT,N95.1,N95.1 stands for Postmenopausal atrophic vaginitis.
IMVEXXY STARTER PACK 4 MCG VAGINAL INSERT,N95.2,N95.2 stands for Postmenopausal atrophic vaginitis.
INSULIN DEGLUDEC FLEXTOUCH 200 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E10.9,E10.9 stands for Type 1 diabetes mellitus without complications.
INSULIN DEGLUDEC FLEXTOUCH 200 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
INSULIN DEGLUDEC FLEXTOUCH 200 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E13.9,E13.9 stands for Other specified diabetes mellitus with other specified complication.
INSULIN GLARGINE-YFGN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E10.9,E10.9 stands for Type 1 diabetes mellitus without complications.
INSULIN GLARGINE-YFGN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
INSULIN GLARGINE-YFGN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E13.9,E13.9 stands for Other specified diabetes mellitus with other specified complication.
INTRAROSA 6.5MG INSERT,N94.10,N94.10 stands for Postmenopausal atrophic vaginitis.
INTRAROSA 6.5MG INSERT,N94.11,N94.11 stands for Postmenopausal atrophic vaginitis.
INTRAROSA 6.5MG INSERT,N94.12,N94.12 stands for Atrophic vaginitis.
INTRAROSA 6.5MG INSERT,N94.19,N94.19 stands for Other specified atrophic vulvovaginitis.
INVEGA SUSTENNA 234MG INJ,F20.0,F20.0 stands for Paranoid schizophrenia.
INVEGA SUSTENNA 234MG INJ,F20.1,"F20.1 stands for Schizophrenia, paranoid type."
INVEGA SUSTENNA 234MG INJ,F20.2,"F20.2 stands for Schizophrenia, catatonic type."
INVEGA SUSTENNA 234MG INJ,F20.3,F20.3 stands for Undifferentiated schizophrenia.
INVEGA SUSTENNA 234MG INJ,F20.5,"F20.5 stands for Schizophrenia, continuous with acute exacerbation."
INVEGA SUSTENNA 234MG INJ,F20.8,F20.8 stands for Other schizophrenia.
INVEGA SUSTENNA 234MG INJ,F20.9,"F20.9 stands for Schizophrenia, unspecified."
IYUZEH 0.005% SOL,H40.11,"H40.11 stands for Primary open-angle glaucoma, moderate stage."
IYUZEH 0.005% SOL,H40.12,H40.12 stands for Primary open-angle glaucoma.
IYUZEH 0.005% SOL,H40.13,"H40.13 stands for Primary angle-closure glaucoma, moderate stage."
IYUZEH 0.005% SOL,H40.811,"H40.811 stands for Primary open-angle glaucoma, low-tension."
IYUZEH 0.005% SOL,H40.812,"H40.812 stands for Primary open-angle glaucoma, stage unspecified, bilateral."
IYUZEH 0.005% SOL,H40.813,H40.813 stands for Other acute angle-closure glaucoma.
JANUMET 50-1000MG TAB,E11.65,E11.65 stands for Type 2 diabetes mellitus with hyperglycemia with foot ulcer.
JANUMET 50-1000MG TAB,E11.69,E11.69 stands for Type 2 diabetes mellitus with other specified complications.
JANUMET 50-1000MG TAB,E11.8,E11.8 stands for Type 2 diabetes mellitus with other specified complications.
JANUMET 50-1000MG TAB,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
JANUVIA 100MG TAB,E11.65,E11.65 stands for Type 2 diabetes mellitus with hyperglycemia with foot ulcer.
JANUVIA 100MG TAB,E11.69,E11.69 stands for Type 2 diabetes mellitus with other specified complications.
JANUVIA 100MG TAB,E11.8,E11.8 stands for Type 2 diabetes mellitus with other specified complications.
JANUVIA 100MG TAB,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
JARDIANCE 25MG TAB,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
JARDIANCE 25MG TAB,I25.10,I25.10 stands for Atherosclerotic heart disease of native coronary artery without angina pectoris.
JARDIANCE 25MG TAB,N18.9,"N18.9 stands for Chronic kidney disease, unspecified."
JORNAY PM 20 MG ORAL CAPSULE EXTENDED RELEASE 24 HOUR,F90.0,"F90.0 stands for Attention-deficit hyperactivity disorder, predominantly inattentive type."
JORNAY PM 20 MG ORAL CAPSULE EXTENDED RELEASE 24 HOUR,F90.1,"F90.1 stands for Attention-deficit hyperactivity disorder, predominantly inattentive type."
JORNAY PM 20 MG ORAL CAPSULE EXTENDED RELEASE 24 HOUR,F90.2,"F90.2 stands for Attention-deficit hyperactivity disorder, predominantly inattentive type."
JUBLIA 10 % SOLUTION,B35.1,B35.1 stands for Tinea unguium.
KERENDIA 10 MG ORAL TABLET,E11.22,E11.22 stands for Type 2 diabetes mellitus with diabetic nephropathy.
KERENDIA 10MG TAB,E11.22,E11.22 stands for Type 2 diabetes mellitus with diabetic nephropathy.
KERENDIA 10MG TAB,N18.3,"N18.3 stands for Chronic kidney disease, stage 3 (moderate)."
KERENDIA 10MG TAB,N18.4,"N18.4 stands for Chronic kidney disease, stage 4."
LACTULOSE 10 GM ORAL PACKET,K59.00,"K59.00 stands for Constipation, unspecified."
LEVEMIR FLEXPEN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E10.9,E10.9 stands for Type 1 diabetes mellitus without complications.
LEVEMIR FLEXPEN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
LEVEMIR FLEXPEN 100 UNIT/ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E13.9,E13.9 stands for Other specified diabetes mellitus with other specified complication.
LIDOCAINE 5 % EXTERNAL PATCH,B02.9,B02.9 stands for Zoster without complications.
LIDOCAINE 5 % EXTERNAL PATCH,G53.0,G53.0 stands for Trigeminal neuralgia.
LINZESS 72MCG CAP,K58.9,K58.9 stands for Irritable bowel syndrome without diarrhea.
LINZESS 72MCG CAP,K59.00,"K59.00 stands for Constipation, unspecified."
LINZESS 72MCG CAP,K59.09,K59.09 stands for Other functional intestinal disorders.
LIRAGLUTIDE 18 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.65,E11.65 stands for Type 2 diabetes mellitus with hyperglycemia with foot ulcer.
LIRAGLUTIDE 18 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.69,E11.69 stands for Type 2 diabetes mellitus with other specified complications.
